id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
78,Elsevier BV,2878547,TRUE,0.001
297,Springer Science and Business Media LLC,1935663,TRUE,0.237
311,Wiley,870188,TRUE,0.628
263,Institute of Electrical and Electronics Engineers (IEEE),831491,TRUE,0.001
301,Informa UK Limited,704098,TRUE,0.001
1968,MDPI AG,603716,TRUE,0.983
286,Oxford University Press (OUP),434533,TRUE,0.591
374,Walter de Gruyter GmbH,310767,TRUE,0.189
276,Ovid Technologies (Wolters Kluwer Health),227844,TRUE,0.589
1121,JSTOR,227495,FALSE,0
179,SAGE Publications,222743,TRUE,0.731
292,Royal Society of Chemistry (RSC),210300,TRUE,0.432
316,American Chemical Society (ACS),199953,TRUE,0
1965,Frontiers Media SA,171548,TRUE,0.901
54368,openRxiv,125813,TRUE,1
3145,Copernicus GmbH,124016,TRUE,0.585
10523,Schwabe Verlagsgruppe AG,113211,TRUE,0.002
56,Cambridge University Press (CUP),113179,TRUE,0.432
266,IOP Publishing,112120,TRUE,0.886
9060,Egyptian Knowledge Bank,110999,TRUE,0.003
1086,American Association for Cancer Research (AACR),99637,TRUE,0.991
5303,Electronic Enlightenment Project,91695,FALSE,0
320,Association for Computing Machinery (ACM),90428,TRUE,0.175
317,AIP Publishing,78380,TRUE,0.525
3821,Nomos Verlag,76325,TRUE,0.114
140,Emerald,74515,TRUE,0.809
2984,Bloomsbury Academic,71808,TRUE,0.072
194,Georg Thieme Verlag KG,69074,TRUE,0.282
30764,Brazilian Journals,64540,TRUE,0.958
2273,CAIRN.INFO,63038,TRUE,0.173
189,SPIE-Intl Soc Optical Eng,62533,FALSE,0
239,BMJ,61208,TRUE,0.469
4945,Hans Publishers,56073,FALSE,0
16,American Physical Society (APS),51848,TRUE,0.315
2258,Pensoft Publishers,50295,TRUE,0.163
340,Public Library of Science (PLoS),49774,TRUE,0.926
4374,"eLife Sciences Publications, Ltd",49177,TRUE,0.267
250,EDP Sciences,49169,TRUE,0.896
15934,Center for Open Science,46364,TRUE,0.938
17914,Publishing House Helvetica (Publications),44791,TRUE,0.436
2399,OpenEdition,44274,TRUE,0.394
11875,Even3,43367,TRUE,0.316
54080,The Conversation,43150,FALSE,0
23359,Omniscient Pte Ltd,40978,FALSE,0
530,FapUNIFESP (SciELO),40524,TRUE,0.802
2432,IGI Global,40116,TRUE,0.932
219,World Scientific Pub Co Pte Ltd,39717,TRUE,0.585
4694,Sciencedomain International,37970,TRUE,0.758
2918,Edward Elgar Publishing,34484,TRUE,0.013
285,Optica Publishing Group,34291,TRUE,0.977
19162,Comprehensive Publications,33963,FALSE,0
137,Pleiades Publishing Ltd,33909,TRUE,0.033
147,Project MUSE,33649,TRUE,0.308
17262,Qeios Ltd,31874,TRUE,0.131
378,Inderscience Publishers,30172,FALSE,0
2560,F1000 Research Ltd,28555,TRUE,0.337
29645,Ukrainian Assembly of Doctors of Science in Public Administration,27244,TRUE,0
7763,Worldwide Protein Data Bank,27191,FALSE,0
965,Bentham Science Publishers Ltd.,27038,TRUE,0.994
233,American Society of Clinical Oncology (ASCO),26624,TRUE,0.774
175,The Royal Society,24236,TRUE,0.24
165,Bristol University Press,24112,TRUE,0.172
15,American Psychological Association (APA),23525,FALSE,0
1574,Atlantis Press SARL,23422,FALSE,0
1010,JMIR Publications Inc.,22913,TRUE,0.952
23064,International Journal for Multidisciplinary Research (IJFMR),22834,TRUE,1
32523,EWA Publishing,22784,TRUE,1
14667,Universitas Pahlawan Tuanku Tambusai,20683,TRUE,0.995
234,American Society of Hematology,20345,TRUE,0.919
5471,Transcript Verlag,20197,TRUE,0.065
27665,RSIS International,19893,TRUE,0.973
32412,Darcy & Roy Press Co. Ltd.,19107,TRUE,1
1643,Association for Computational Linguistics (ACL),18677,FALSE,0
13,American Geophysical Union (AGU),18356,TRUE,0.992
265,Institution of Engineering and Technology (IET),17855,TRUE,0.388
