id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
78,Elsevier BV,2995004,TRUE,0
286,Oxford University Press (OUP),2118431,TRUE,0.133
297,Springer Science and Business Media LLC,2046617,TRUE,0.238
311,Wiley,947230,TRUE,0.61
263,Institute of Electrical and Electronics Engineers (IEEE),859726,TRUE,0.016
301,Informa UK Limited,805073,TRUE,0.001
1968,MDPI AG,799286,TRUE,0.983
7566,ENCODE Data Coordination Center,448226,FALSE,0
1121,JSTOR,350165,FALSE,0
374,Walter de Gruyter GmbH,334979,TRUE,0.177
1086,American Association for Cancer Research (AACR),326639,TRUE,0.998
1965,Frontiers Media SA,275988,TRUE,0.892
179,SAGE Publications,228501,TRUE,0.784
276,Ovid Technologies (Wolters Kluwer Health),222192,TRUE,0.552
316,American Chemical Society (ACS),217411,TRUE,0.087
8761,Research Square Platform LLC,191247,TRUE,1
56,Cambridge University Press (CUP),157250,TRUE,0.368
3145,Copernicus GmbH,142603,TRUE,0.592
266,IOP Publishing,136442,TRUE,0.933
292,Royal Society of Chemistry (RSC),134846,TRUE,0.779
246,Cold Spring Harbor Laboratory,134516,TRUE,0.995
9060,Egyptian Knowledge Bank,116909,TRUE,0.004
3821,Nomos Verlag,102954,TRUE,0.11
317,AIP Publishing,101103,TRUE,0.409
320,Association for Computing Machinery (ACM),96583,TRUE,0.169
239,BMJ,89076,TRUE,0.426
242,CABI Publishing,88599,TRUE,0.019
194,Georg Thieme Verlag KG,88239,TRUE,0.336
140,Emerald,83746,TRUE,0.76
5303,Electronic Enlightenment Project,79939,FALSE,0
189,SPIE-Intl Soc Optical Eng,73699,FALSE,0
2984,Bloomsbury Academic,71624,TRUE,0.035
2273,CAIRN,68488,TRUE,0.326
2581,Medknow,66339,TRUE,0.502
15934,Center for Open Science,64645,TRUE,1
98,Hindawi Limited,62888,TRUE,0.83
16,American Physical Society (APS),56735,TRUE,0.043
17262,Qeios Ltd,56477,TRUE,0.087
2399,OpenEdition,56110,TRUE,0.106
340,Public Library of Science (PLoS),55490,TRUE,0.95
250,EDP Sciences,55204,TRUE,0.913
1963,Organisation for Economic Co-Operation and Development (OECD),54688,FALSE,0
530,FapUNIFESP (SciELO),54352,TRUE,0.685
50,Brill,52511,TRUE,0.228
219,World Scientific Pub Co Pte Ltd,50301,TRUE,0.522
2258,Pensoft Publishers,49661,TRUE,0.17
30764,South Florida Publishing LLC,48016,TRUE,0.946
4945,Hans Publishers,46575,FALSE,0
147,Project MUSE,43518,TRUE,0.142
17914,Publishing House Helvetica (Publications),43466,TRUE,0.339
11875,Even3,42637,TRUE,0.2
2432,IGI Global,42519,TRUE,0.938
137,Pleiades Publishing Ltd,42343,TRUE,0.041
378,Inderscience Publishers,41670,FALSE,0
285,Optica Publishing Group,41011,TRUE,0.971
7763,Worldwide Protein Data Bank,38807,FALSE,0
4694,Sciencedomain International,37358,TRUE,0.714
4374,"eLife Sciences Publications, Ltd",37317,TRUE,0.287
2918,Edward Elgar Publishing,36686,TRUE,0.012
1574,Atlantis Press SARL,35439,TRUE,0.005
965,Bentham Science Publishers Ltd.,34151,TRUE,0.935
9829,"Authorea, Inc.",34051,TRUE,0.757
16089,Brill Deutschland GmbH,32157,TRUE,0.028
23359,Omniscient Pte Ltd,32009,FALSE,0
165,Bristol University Press,31724,TRUE,0.177
15,American Psychological Association (APA),30723,FALSE,0
233,American Society of Clinical Oncology (ASCO),28372,TRUE,0.91
7437,IOS Press,27209,TRUE,0.958
5471,Transcript Verlag,26285,TRUE,0.099
278,Mary Ann Liebert Inc,24942,FALSE,0
1010,JMIR Publications Inc.,24609,TRUE,0.963
9818,Atena Editora Edição de Livros Ltda,24536,TRUE,0
1387,American Institute of Aeronautics and Astronautics (AIAA),23966,TRUE,0.079
17106,The Russian Academy of Sciences,23827,TRUE,0.589
7834,United Nations Publications,23143,FALSE,0
32412,Darcy & Roy Press Co. Ltd.,22174,TRUE,1
10,American Medical Association (AMA),21706,TRUE,0.471
960,Office of Scientific and Technical Information (OSTI),21569,FALSE,0
19,American Thoracic Society,21436,FALSE,0
2751,"Scientific Research Publishing, Inc.",21116,FALSE,0
265,Institution of Engineering and Technology (IET),20710,TRUE,0.302
13,American Geophysical Union (AGU),20660,TRUE,0.999
33,ASME International,20573,TRUE,0.987
77,The Electrochemical Society,20263,TRUE,0.996
28402,VDI Verlag GmbH,20227,TRUE,0.486
30,American Society of Civil Engineers (ASCE),19392,TRUE,0.001
1604,American Educational Research Association (AERA),19149,TRUE,0.032
221,American Association for the Advancement of Science (AAAS),18997,TRUE,0.762
234,American Society of Hematology,18630,TRUE,0.562
30861,Radiopaedia Australia Pty Ltd,18602,FALSE,0
175,The Royal Society,18285,TRUE,0.392
235,American Society for Microbiology,17945,TRUE,0.941
281,MIT Press,17179,TRUE,0.265
3774,IntechOpen,17034,TRUE,0.872
200,University of Chicago Press,17007,FALSE,0
8611,AME Publishing Company,16924,FALSE,0
4443,PeerJ,16508,TRUE,0.405
4802,Verlag Dr. Otto Schmidt,16381,TRUE,0.01
6055,Verlag C.H.Beck oHG,15922,TRUE,0.041
127,S. Karger AG,15834,TRUE,0.775
5130,Mark Allen Group,15819,TRUE,0.715
32523,EWA Publishing,15322,TRUE,1
408,University of California Press,15058,TRUE,0.2
2208,American Astronomical Society,14837,TRUE,0.944
7832,NYU Press,14610,TRUE,0.023
4854,Publications Office of the European Union,14472,TRUE,0
2321,American Institute of Mathematical Sciences (AIMS),14196,TRUE,0.743
19099,"Research, Society and Development",14085,TRUE,1
3433,Academy of Management,14003,TRUE,0
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),13972,TRUE,0.986
1643,Association for Computational Linguistics (ACL),13549,FALSE,0
19162,Comprehensive Publications,13502,FALSE,0
29645,Ukrainian Assembly of Doctors of Science in Public Administration,13478,TRUE,0
11853,Universitas Mataram,13274,TRUE,0.954
861,Society of Petroleum Engineers (SPE),13237,TRUE,0.997
2895,African Journals Online (AJOL),12848,TRUE,1
257,Geological Society of America,12805,TRUE,0.352
73,Duke University Press,12781,TRUE,0.423
416,Bioscientifica,12603,TRUE,0.174
18300,Ryerson University Library and Archives,12582,TRUE,1
1670,Nepal Journals Online (JOL),12467,TRUE,0.999
7770,Knowledge E DMCC,12430,TRUE,1
7078,"ZappyLab, Inc.",12418,TRUE,1
8703,IATED Academy,12193,FALSE,0
34829,Instituto Multiprofissional de Ensino,12169,TRUE,0.01
14667,Universitas Pahlawan Tuanku Tambusai,11892,TRUE,0.989
30611,Wurttembergische Landesbibliothek,11838,TRUE,0.551
7729,"Private Enterprise, Vladislav Ivanov",11630,TRUE,0.954
