id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
78,Elsevier BV,2765644,TRUE,0
286,Oxford University Press (OUP),2123215,TRUE,0.12
297,Springer Science and Business Media LLC,1842186,TRUE,0.247
311,Wiley,833522,TRUE,0.631
263,Institute of Electrical and Electronics Engineers (IEEE),807329,TRUE,0.01
301,Informa UK Limited,717588,TRUE,0
1968,MDPI AG,661275,TRUE,0.984
1086,American Association for Cancer Research (AACR),340564,TRUE,0.998
374,Walter de Gruyter GmbH,331798,TRUE,0.193
1121,JSTOR,291470,FALSE,0
276,Ovid Technologies (Wolters Kluwer Health),207732,TRUE,0.575
179,SAGE Publications,206756,TRUE,0.799
316,American Chemical Society (ACS),195909,TRUE,0.094
1965,Frontiers Media SA,189037,TRUE,0.879
292,Royal Society of Chemistry (RSC),149560,TRUE,0.617
3145,Copernicus GmbH,136299,TRUE,0.627
56,Cambridge University Press (CUP),131029,TRUE,0.4
246,Cold Spring Harbor Laboratory,123466,TRUE,0.995
266,IOP Publishing,116599,TRUE,0.914
10523,Schwabe Verlagsgruppe AG,113214,TRUE,0.002
9060,Egyptian Knowledge Bank,104429,TRUE,0.006
8761,Research Square Platform LLC,95007,TRUE,1
317,AIP Publishing,93129,TRUE,0.423
3821,Nomos Verlag,87681,TRUE,0.113
320,Association for Computing Machinery (ACM),85150,TRUE,0.18
5303,Electronic Enlightenment Project,80173,FALSE,0
194,Georg Thieme Verlag KG,76433,TRUE,0.303
140,Emerald,74381,TRUE,0.761
189,SPIE-Intl Soc Optical Eng,67310,FALSE,0
239,BMJ,66094,TRUE,0.42
2273,CAIRN.INFO,64222,TRUE,0.282
250,EDP Sciences,59111,TRUE,0.876
17262,Qeios Ltd,58274,TRUE,0.098
30764,Brazilian Journals,57734,TRUE,0.972
2984,Bloomsbury Academic,51059,TRUE,0.06
15934,Center for Open Science,50579,TRUE,0.97
16,American Physical Society (APS),49559,TRUE,0.183
4945,Hans Publishers,49230,FALSE,0
340,Public Library of Science (PLoS),48104,TRUE,0.939
2399,OpenEdition,47922,TRUE,0.279
2258,Pensoft Publishers,46370,TRUE,0.161
4374,"eLife Sciences Publications, Ltd",45380,TRUE,0.277
530,FapUNIFESP (SciELO),43711,TRUE,0.732
11875,Even3,42620,TRUE,0.311
219,World Scientific Pub Co Pte Ltd,42546,TRUE,0.533
2581,Medknow,42159,TRUE,0.747
17914,Publishing House Helvetica (Publications),41598,TRUE,0.385
137,Pleiades Publishing Ltd,37741,TRUE,0.038
147,Project MUSE,36612,TRUE,0.243
4694,Sciencedomain International,36209,TRUE,0.723
285,Optica Publishing Group,35820,TRUE,0.975
2918,Edward Elgar Publishing,35177,TRUE,0.014
2432,IGI Global,34800,TRUE,0.933
7763,Worldwide Protein Data Bank,34577,FALSE,0
378,Inderscience Publishers,34220,FALSE,0
9829,"Authorea, Inc.",33917,TRUE,0.521
23359,Omniscient Pte Ltd,33160,FALSE,0
965,Bentham Science Publishers Ltd.,29582,TRUE,0.991
165,Bristol University Press,27768,TRUE,0.181
1574,Atlantis Press SARL,27629,FALSE,0
233,American Society of Clinical Oncology (ASCO),26271,TRUE,0.791
15,American Psychological Association (APA),26189,TRUE,0
32412,Darcy & Roy Press Co. Ltd.,24326,TRUE,1
1010,JMIR Publications Inc.,22327,TRUE,0.961
5471,Transcript Verlag,22113,TRUE,0.084
32523,EWA Publishing,21704,TRUE,1
17106,The Russian Academy of Sciences,21179,TRUE,0.848
278,Mary Ann Liebert Inc,21113,FALSE,0
1387,American Institute of Aeronautics and Astronautics (AIAA),20064,TRUE,0.126
175,The Royal Society,19876,TRUE,0.301
234,American Society of Hematology,19757,TRUE,0.912
265,Institution of Engineering and Technology (IET),19513,TRUE,0.39
7834,United Nations Publications,19460,FALSE,0
19162,Comprehensive Publications,19384,FALSE,0
29645,Ukrainian Assembly of Doctors of Science in Public Administration,18605,TRUE,0
10,American Medical Association (AMA),18530,TRUE,0.623
2751,"Scientific Research Publishing, Inc.",18255,FALSE,0
9818,Atena Editora Edição de Livros Ltda,18118,TRUE,0
28402,VDI Verlag GmbH,17569,TRUE,0.496
13,American Geophysical Union (AGU),17499,TRUE,0.998
34829,Instituto Multiprofissional de Ensino,17420,TRUE,0.017
77,The Electrochemical Society,17154,TRUE,0.996
33,ASME International,17053,TRUE,0.985
221,American Association for the Advancement of Science (AAAS),16725,TRUE,0.745
30,American Society of Civil Engineers (ASCE),16249,TRUE,0.001
23064,International Journal for Multidisciplinary Research (IJFMR),16154,TRUE,1
19,American Thoracic Society,15781,FALSE,0
960,Office of Scientific and Technical Information (OSTI),15712,FALSE,0
113,International Union of Pure and Applied Chemistry (IUPAC),15002,TRUE,0.07
6055,Verlag C.H.Beck oHG,14882,TRUE,0.037
235,American Society for Microbiology,14658,TRUE,0.943
281,MIT Press,14624,TRUE,0.288
1643,Association for Computational Linguistics (ACL),14346,FALSE,0
1096,IUCN,14047,TRUE,0.006
3774,IntechOpen,14034,TRUE,0.863
8611,AME Publishing Company,13991,FALSE,0
12033,GSC Online Press,13854,TRUE,0.985
1604,American Educational Research Association (AERA),13518,TRUE,0.042
200,University of Chicago Press,13435,FALSE,0
5130,Mark Allen Group,13357,TRUE,0.704
30593,Science Research Society,13352,TRUE,0.8
2208,American Astronomical Society,13304,TRUE,0.947
127,S. Karger AG,13223,TRUE,0.799
30861,Radiopaedia Australia Pty Ltd,13151,FALSE,0
4802,Verlag Dr. Otto Schmidt,13054,TRUE,0.032
11853,Universitas Mataram,13040,TRUE,0.958
861,Society of Petroleum Engineers (SPE),13033,TRUE,0.916
408,University of California Press,12967,TRUE,0.198
4854,Publications Office of the European Union,12805,TRUE,0
18300,Ryerson University Library and Archives,12357,TRUE,1
257,Geological Society of America,12284,TRUE,0.305
2321,American Institute of Mathematical Sciences (AIMS),12171,TRUE,0.597
31492,Green Publication,11650,TRUE,0.158
30611,Wurttembergische Landesbibliothek,11441,TRUE,0.536
2895,African Journals Online (AJOL),11124,TRUE,1
81,European Respiratory Society (ERS),11074,TRUE,0.12
73,Duke University Press,11022,TRUE,0.516
34671,Seven Events,10942,TRUE,0.945
1670,Nepal Journals Online (JOL),10919,TRUE,0.999
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),10891,TRUE,0.986
34520,Politeknik Pratama Purwokerto,10731,TRUE,0.952
9531,AkiNik Publications,10561,TRUE,0
8810,International Journal of Science and Research,10515,FALSE,0
8703,IATED Academy,10475,FALSE,0
4443,PeerJ,10443,TRUE,0.59
26763,Everant Journals,10216,TRUE,1
10894,Scientific Scholar,10164,TRUE,0.538
14667,Universitas Pahlawan Tuanku Tambusai,10164,TRUE,0.989
32237,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),10103,TRUE,0.711
7770,Knowledge E DMCC,10033,TRUE,1
4230,Manchester University Press,9892,TRUE,0.01
416,Bioscientifica,9885,TRUE,0.188
11,American Economic Association,9873,TRUE,0.136
39909,Asosiasi Riset Ilmu Manajemen dan Bisnis Indonesia,9837,TRUE,0.945
33635,Indospace Publications,9762,TRUE,0.999
22072,SASPR Edu International Pvt. Ltd,9653,TRUE,0.998
37393,Staatliche Kunstsammlungen Dresden,9498,TRUE,0.999
10869,Francis Academic Press Ltd.,9486,TRUE,0
3433,Academy of Management,9390,TRUE,0.001
7570,Medip Academy,9354,TRUE,1
2587,European Alliance for Innovation n.o.,9292,TRUE,0.127
27665,RSIS International,9233,TRUE,0.998
7437,IOS Press,9094,TRUE,0.979
1696,University of Toronto Press Inc. (UTPress),9055,TRUE,0.333
23803,Asociacion Latinoamericana para el Avance de la Ciencia,9043,TRUE,0.998
17807,Tech Science Press,8978,TRUE,0.002
50238,INTERECONOM Publishing,8939,TRUE,1
2560,F1000 Research Ltd,8885,TRUE,0.989
10063,"Clausius Scientific Press, Inc.",8882,TRUE,0
24,American Physiological Society,8833,TRUE,0.937
2060,Baishideng Publishing Group Inc.,8790,TRUE,0.785
4858,Institute of Advanced Engineering and Science,8705,TRUE,0.982
37468,Polish Academy of Sciences Chancellery,8624,TRUE,0.332
341,Proceedings of the National Academy of Sciences,8622,TRUE,0.846
3964,Centre for Evaluation in Education and Science (CEON/CEES),8619,TRUE,0.977
11818,Duke University Libraries,8586,FALSE,0
21849,World Wide Journals,8502,TRUE,1
30674,Wissenschaftliche Verlagsgesellschaft mbH,8448,TRUE,0.024
4913,Magnolia Press,8435,TRUE,0.822
5164,Yale University Press,8340,TRUE,0.05
4194,Consortium Erudit,8284,TRUE,0.465
80,The Endocrine Society,8013,TRUE,0.936
18617,XMLink,8005,TRUE,0.014
10779,Institute of Acoustics,7968,FALSE,0
