id,primary_name,count_current_type,deposits_abstracts_current,abstracts_current_type
78,Elsevier BV,3231593,TRUE,0
297,Springer Science and Business Media LLC,2211329,TRUE,0.252
286,Oxford University Press (OUP),2175187,TRUE,0.134
311,Wiley,1008006,TRUE,0.634
263,Institute of Electrical and Electronics Engineers (IEEE),931677,TRUE,0.009
301,Informa UK Limited,821162,TRUE,0.001
1968,MDPI AG,762024,TRUE,0.983
374,Walter de Gruyter GmbH,375203,TRUE,0.196
1086,American Association for Cancer Research (AACR),358325,TRUE,0.997
1121,JSTOR,340549,FALSE,0
276,Ovid Technologies (Wolters Kluwer Health),247017,TRUE,0.578
179,SAGE Publications,240961,TRUE,0.794
316,American Chemical Society (ACS),230331,TRUE,0.094
1965,Frontiers Media SA,218113,TRUE,0.885
292,Royal Society of Chemistry (RSC),192447,TRUE,0.558
3145,Copernicus GmbH,152437,TRUE,0.609
56,Cambridge University Press (CUP),149707,TRUE,0.402
246,Cold Spring Harbor Laboratory,145062,TRUE,0.995
266,IOP Publishing,133941,TRUE,0.911
9060,Egyptian Knowledge Bank,126151,TRUE,0.006
10523,Schwabe Verlagsgruppe AG,113300,TRUE,0.002
317,AIP Publishing,107347,TRUE,0.431
3821,Nomos Verlag,103909,TRUE,0.113
320,Association for Computing Machinery (ACM),103711,TRUE,0.175
5303,Electronic Enlightenment Project,90580,FALSE,0
194,Georg Thieme Verlag KG,86312,TRUE,0.304
140,Emerald,83668,TRUE,0.758
2273,CAIRN.INFO,77591,TRUE,0.245
189,SPIE-Intl Soc Optical Eng,77095,FALSE,0
239,BMJ,75458,TRUE,0.431
2984,Bloomsbury Academic,71945,TRUE,0.062
8761,Research Square Platform LLC,69843,TRUE,1
30764,Brazilian Journals,67298,TRUE,0.968
15934,Center for Open Science,65883,TRUE,0.919
250,EDP Sciences,64068,TRUE,0.882
17262,Qeios Ltd,60310,TRUE,0.104
16,American Physical Society (APS),59303,TRUE,0.201
4945,Hans Publishers,59242,FALSE,0
340,Public Library of Science (PLoS),57651,TRUE,0.938
2399,OpenEdition,56908,TRUE,0.308
2258,Pensoft Publishers,54661,TRUE,0.163
4374,"eLife Sciences Publications, Ltd",52855,TRUE,0.272
17914,Publishing House Helvetica (Publications),51504,TRUE,0.389
530,FapUNIFESP (SciELO),50280,TRUE,0.739
219,World Scientific Pub Co Pte Ltd,49478,TRUE,0.55
11875,Even3,49281,TRUE,0.302
23359,Omniscient Pte Ltd,44187,FALSE,0
137,Pleiades Publishing Ltd,43535,TRUE,0.037
2432,IGI Global,43367,TRUE,0.934
4694,Sciencedomain International,43333,TRUE,0.732
147,Project MUSE,43031,TRUE,0.253
2581,Medknow,41070,TRUE,0.748
285,Optica Publishing Group,40948,TRUE,0.975
2918,Edward Elgar Publishing,40191,TRUE,0.015
378,Inderscience Publishers,38896,FALSE,0
233,American Society of Clinical Oncology (ASCO),34205,TRUE,0.813
7763,Worldwide Protein Data Bank,33959,FALSE,0
965,Bentham Science Publishers Ltd.,32696,TRUE,0.99
1574,Atlantis Press SARL,32598,FALSE,0
165,Bristol University Press,31623,TRUE,0.18
15,American Psychological Association (APA),30578,TRUE,0
1010,JMIR Publications Inc.,26645,TRUE,0.958
32412,Darcy & Roy Press Co. Ltd.,26366,TRUE,1
19162,Comprehensive Publications,25787,FALSE,0
32523,EWA Publishing,25518,TRUE,1
5471,Transcript Verlag,25254,TRUE,0.079
175,The Royal Society,24962,TRUE,0.282
29645,Ukrainian Assembly of Doctors of Science in Public Administration,23793,TRUE,0
278,Mary Ann Liebert Inc,23476,FALSE,0
19,American Thoracic Society,23167,FALSE,0
7834,United Nations Publications,22323,FALSE,0
265,Institution of Engineering and Technology (IET),21644,TRUE,0.405
1387,American Institute of Aeronautics and Astronautics (AIAA),21551,TRUE,0.133
10,American Medical Association (AMA),21279,TRUE,0.622
17106,The Russian Academy of Sciences,21179,TRUE,0.848
23064,International Journal for Multidisciplinary Research (IJFMR),21083,TRUE,1
2751,"Scientific Research Publishing, Inc.",21040,FALSE,0
13,American Geophysical Union (AGU),20789,TRUE,0.997
28402,VDI Verlag GmbH,20499,TRUE,0.495
234,American Society of Hematology,20410,TRUE,0.9
34829,Instituto Multiprofissional de Ensino,20140,TRUE,0.016
77,The Electrochemical Society,20084,TRUE,0.997
9818,Atena Editora Edição de Livros Ltda,20048,TRUE,0
221,American Association for the Advancement of Science (AAAS),19902,TRUE,0.749
30,American Society of Civil Engineers (ASCE),18615,TRUE,0.001
960,Office of Scientific and Technical Information (OSTI),18447,FALSE,0
33,ASME International,18358,TRUE,0.985
12033,GSC Online Press,17941,TRUE,0.987
1096,IUCN,17668,TRUE,0.006
30593,Science Research Society,17528,TRUE,0.829
235,American Society for Microbiology,16996,TRUE,0.946
281,MIT Press,16965,TRUE,0.288
1643,Association for Computational Linguistics (ACL),16779,FALSE,0
11853,Universitas Mataram,16398,TRUE,0.959
6055,Verlag C.H.Beck oHG,16288,TRUE,0.042
14667,Universitas Pahlawan Tuanku Tambusai,16267,TRUE,0.991
8611,AME Publishing Company,16136,FALSE,0
127,S. Karger AG,15741,TRUE,0.781
34520,Politeknik Pratama Purwokerto,15729,TRUE,0.955
2208,American Astronomical Society,15657,TRUE,0.952
3774,IntechOpen,15588,TRUE,0.86
33635,Indospace Publications,15420,TRUE,0.999
5130,Mark Allen Group,15360,TRUE,0.71
200,University of Chicago Press,15221,FALSE,0
113,International Union of Pure and Applied Chemistry (IUPAC),15002,TRUE,0.347
4802,Verlag Dr. Otto Schmidt,14927,TRUE,0.037
4854,Publications Office of the European Union,14856,TRUE,0
30861,Radiopaedia Australia Pty Ltd,14844,FALSE,0
861,Society of Petroleum Engineers (SPE),14746,TRUE,0.925
257,Geological Society of America,14459,TRUE,0.3
408,University of California Press,14243,TRUE,0.205
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),13885,TRUE,0.986
34671,Seven Events,13755,TRUE,0.95
31492,Green Publication,13654,TRUE,0.167
1670,Nepal Journals Online (JOL),13637,TRUE,0.999
2321,American Institute of Mathematical Sciences (AIMS),13598,TRUE,0.533
1604,American Educational Research Association (AERA),13582,TRUE,0.046
27665,RSIS International,13333,TRUE,0.998
416,Bioscientifica,13253,TRUE,0.164
9531,AkiNik Publications,13222,TRUE,0
2895,African Journals Online (AJOL),13177,TRUE,0.999
39909,Asosiasi Riset Ilmu Manajemen dan Bisnis Indonesia,12907,TRUE,0.943
18300,Ryerson University Library and Archives,12898,TRUE,0.999
30611,Wurttembergische Landesbibliothek,12639,TRUE,0.54
73,Duke University Press,12413,TRUE,0.528
10894,Scientific Scholar,12246,TRUE,0.566
8703,IATED Academy,12172,FALSE,0
8810,International Journal of Science and Research,12083,FALSE,0
26763,Everant Journals,12068,TRUE,1
32237,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),12042,TRUE,0.716
81,European Respiratory Society (ERS),11742,TRUE,0.133
7770,Knowledge E DMCC,11550,TRUE,1
11,American Economic Association,11482,TRUE,0.141
24,American Physiological Society,11475,TRUE,0.941
22072,SASPR Edu International Pvt. Ltd,11411,TRUE,0.998
4230,Manchester University Press,11298,TRUE,0.009
4443,PeerJ,11269,TRUE,0.62
7570,Medip Academy,10841,TRUE,1
1167,American Diabetes Association,10673,TRUE,0.933
1696,University of Toronto Press Inc. (UTPress),10608,TRUE,0.333
23146,Instituto Chico Mendes de Conservacao da Biodiversidade - ICBBio,10453,TRUE,0.018
17807,Tech Science Press,10339,TRUE,0.002
7437,IOS Press,10317,TRUE,0.979
3964,Centre for Evaluation in Education and Science (CEON/CEES),10298,TRUE,0.972
10869,Francis Academic Press Ltd.,10278,TRUE,0
2060,Baishideng Publishing Group Inc.,10184,TRUE,0.81
2560,F1000 Research Ltd,10172,TRUE,0.973
23803,Asociacion Latinoamericana para el Avance de la Ciencia,10143,TRUE,0.998
341,Proceedings of the National Academy of Sciences,10058,TRUE,0.846
9382,Association for the Advancement of Artificial Intelligence (AAAI),9852,TRUE,1
10063,"Clausius Scientific Press, Inc.",9833,TRUE,0
2587,European Alliance for Innovation n.o.,9806,TRUE,0.129
50238,INTERECONOM Publishing,9756,TRUE,1
