"id","primary_name","prefixes","total.dois","current.dois","backfile.dois","flags.deposits.abstracts.current","coverge.abstracts.current","flags.deposits.abstracts.backfile","coverge.abstracts.backfile"
276,"Ovid Technologies (Wolters Kluwer Health)","10.14309, 10.7123, 10.1519, 10.11124, 10.1227, 10.1249, 10.1203, 10.1212, 10.1213, 10.1288, 10.2459, 10.1161, 10.2106, 10.1097, 10.5435","2152267","172312","1979955","TRUE","0.00206601968966424","TRUE","1.51518599977862e_06"
285,"The Optical Society","10.1364","288368","32249","256119","FALSE","0","FALSE","0"
288,"Portland Press Ltd.","10.1042","113078","3308","109770","TRUE","0.956469178199768","TRUE","0.494925767183304"
291,"Rockefeller University Press","10.1083, 10.1085, 10.1084","60129","1478","58651","TRUE","0.969553470611572","TRUE","0.8629350066185"
317,"AIP Publishing","10.1063","797491","57408","740083","FALSE","0","FALSE","0"
326,"Genetics Society of Japan","10.1266","4289","66","4223","FALSE","0","FALSE","0"
332,"Japanese Pharmacological Society","10.1254","15494","208","15286","FALSE","0","FALSE","0"
336,"Japanese Society of Microbial Ecology","10.1264","1266","134","1132","FALSE","0","FALSE","0"
341,"Proceedings of the National Academy of Sciences","10.1073","143797","8473","135324","TRUE","0.825327515602112","TRUE","0.0760914534330368"
353,"Sigma Xi","10.1511","2434","248","2186","FALSE","0","FALSE","0"
378,"Inderscience Publishers","10.1504","127471","31498","95973","FALSE","0","FALSE","0"
382,"Joule Inc.","10.9778, 10.1503","13367","1744","11623","FALSE","0","FALSE","0"
385,"International Society of Cytology","10.1508","5479","143","5336","FALSE","0","FALSE","0"
386,"Japan Endocrine Society","10.1507","11540","408","11132","FALSE","0","FALSE","0"
387,"George Washington University Institute for Ethnographic Research (Project Muse)","10.1491","0","0","0","FALSE","0","FALSE","0"
410,"Japanese Society for Artificial Intelligence","10.1527","1086","82","1004","FALSE","0","FALSE","0"
412,"Carden Jennings Publishing Co.","10.1532","1685","206","1479","TRUE","1","TRUE","0.39688977599144"
421,"The Society for the Study of Evolution","10.1554","1838","0","1838","FALSE","0","FALSE","0"
428,"Laser Pages Publishing Ltd.","10.1560","900","0","900","FALSE","0","FALSE","0"
