id,primary_name,prefixes,total.dois,current.dois,backfile.dois,flags.deposits.abstracts.current,coverge.abstracts.current,flags.deposits.abstracts.backfile,coverge.abstracts.backfile
11978,Torch Trinity Center for Islamic Studies,10.30532,132,29,103,FALSE,0,FALSE,0
2605,"Department of Sport Management, University of Peloponnese",10.4127,234,29,205,FALSE,0,FALSE,0
7416,Instituto Federal do Amapa,10.18067,98,29,69,FALSE,0,FALSE,0
7698,Ege Strategic Research Journal,10.18354,97,29,68,FALSE,0,FALSE,0
9736,BSNV College Lucknow,10.22445,126,29,97,TRUE,1,TRUE,1
19033,MOLESTO: Edebiyat Arastirmalari Dergisi,10.33406,29,29,0,FALSE,0,FALSE,0
4332,Centro de Investigacao e Estudos de Sociologia (CIES-IUL),10.7458,205,29,176,TRUE,0.896551728248596,TRUE,0.465909093618393
5575,Korean Breast Cancer Society,10.14449,97,29,68,FALSE,0,FALSE,0
5606,University of Malaya Press,10.14425,115,29,86,FALSE,0,FALSE,0
7786,The Korea Association of Clinical Ultrasound,10.18525,62,29,33,FALSE,0,FALSE,0
7872,Anadolu Ege Tarimsal Arastirmalar Enstitusu Dergisi,10.18615,29,29,0,FALSE,0,FALSE,0
8288,Yaroslavl State Pedagogical University,10.20323,29,29,0,FALSE,0,FALSE,0
8348,Weil Cornell Medicine-Qatar,10.20421,44,29,15,TRUE,1,TRUE,0.933333337306976
8672,College of Communication and Public Relations,10.21018,115,29,86,TRUE,1,TRUE,1
9545,Institute of Natural Science,10.22283,62,29,33,FALSE,0,FALSE,0
10184,Current Research in Pharmaceutical Sciences,10.24092,43,29,14,FALSE,0,FALSE,0
10472,Mardjani Foundation for Support and Development of Research and Cultural Programs,10.24848,189,29,160,TRUE,0.931034505367279,TRUE,0.25
10996,"Universidad La Salle, Mexico",10.26457,44,29,15,TRUE,0.827586233615875,TRUE,0.666666686534882
11220,Revista de  Ciencia e Inovacao,10.26669,63,29,34,TRUE,0.931034505367279,TRUE,0.882352948188782
19343,Yonsei Law Association,10.33606,29,29,0,FALSE,0,FALSE,0
19370,Badan Penelitian dan Pengembangan Provinsi Sumatera Utara,10.33626,29,29,0,TRUE,0.931034505367279,FALSE,0
19508,SDU International Journal of Educational Studies,10.33710,29,29,0,FALSE,0,FALSE,0
19539,Sekolah Tinggi Ilmu Kesehatan Faletehan,10.33746,29,29,0,TRUE,0.862068951129913,FALSE,0
19747,Botanical Society of Britain and Ireland,10.33928,29,29,0,TRUE,1,FALSE,0
19688,IJREAM Publishing House,10.35291,29,29,0,TRUE,1,FALSE,0
14238,Williams College,10.36934,29,29,0,FALSE,0,FALSE,0
23503,"GRID Architecture, Planning and Design Journal, Cankaya University",10.37246,29,29,0,FALSE,0,FALSE,0
23664,Nuffield Department of Surgical Sciences,10.37707,29,29,0,TRUE,0.896551728248596,FALSE,0
24676,The Korean Society of American History,10.37732,44,29,15,FALSE,0,FALSE,0
16158,Networking Knowledge MeCCSA PGN Journal,10.31165,324,29,295,TRUE,0.793103456497192,TRUE,0.871186435222626
22882,College of Nurses Aotearoa - NZ - Inc,10.36951,29,29,0,FALSE,0,FALSE,0
11310,Laboratorio de Orientacao da Genese Organizacional - Universidade Federal de Santa Catarina,10.26771,136,29,107,FALSE,0,FALSE,0
11366,IJournals Publications,10.26821,29,29,0,FALSE,0,FALSE,0
11615,Universidad Estatal de Milagro (UNEMI),10.29076,308,29,279,TRUE,1,TRUE,0.863799273967743
11651,Technical University of Varna,10.29114,43,29,14,TRUE,1,TRUE,1
11711,Cambridge Encyclopedia of Anthropology,10.29164,48,29,19,FALSE,0,FALSE,0
11937,JEDEM Journal of e-Democracy and Open Government,10.29379,186,29,157,TRUE,0.896551728248596,TRUE,0.955413997173309
12061,Student Counseling Center at Sogang University,10.30593,29,29,0,FALSE,0,FALSE,0
12101,Journal of Agriculture Food and Development,10.30635,29,29,0,FALSE,0,FALSE,0
12336,Balai Arkeologi Yogyakarta,10.30883,292,29,263,TRUE,0.862068951129913,TRUE,0.961977183818817
16038,Institute of Korean Democracy (IKD),10.31008,39,29,10,FALSE,0,FALSE,0
16103,Scientia Canonica,10.31240,29,29,0,TRUE,1,FALSE,0
